id	filename	md5	size	state
008f1fdc-a5e4-4094-a987-bccc44d5a7c7	7cccb817-cdff-45c0-a4cd-9de57d7d8c48.htseq.counts.gz	04a1b01b38f97d15c8ef873809837b71	252570	released
d257277b-072f-4b6c-bead-07332de2a533	49895f4a-72ac-4d5e-ba56-8c8bb5de4758.htseq.counts.gz	661f22b698d45a10f6c00e420c6a2fbd	253547	released
214db7c7-ce13-4ef3-88ea-8e125ce7eae8	e5214aa1-432a-4a47-886c-3ded1616255b.htseq.counts.gz	9f4fcaa5e8a924e9553bdbc9d2a2e0e6	254501	released
5b296040-9f5b-4ed4-91f5-1945886f590f	08b04038-cfb4-4a4c-9e20-1585a4af6826.htseq.counts.gz	ad329a7b800b929d89e6e0ee4bbb6c78	251327	released
b53576ba-4212-4057-b8e5-f20b80679192	3de80dcb-4ff2-4125-b8e6-9e06ec1cd833.htseq.counts.gz	ae07bbbc615a3103a7fc5ed787599bd7	256127	released
787a9458-bce0-4238-95a6-5647aa166e11	a19219b1-db59-4493-83ef-e938e2ffdefd.htseq.counts.gz	045289b53f2aa47bbf63b292a4357403	251932	released
1fe6aae5-23ae-4c8f-b12e-773086973975	e228d8be-74db-4b34-90d6-5d757f15310b.htseq.counts.gz	05f64b40c9c3ab2c43637c35dca4c17c	253882	released
93f86103-e3d6-48f7-b76e-793c616a6d0d	44c3d518-14fa-4d63-b265-d7fc81c398e2.htseq.counts.gz	5bdf7e603074561b30eb803a8dbcb5b6	255323	released
92f64f33-457b-439a-a4e5-15aed43be325	30ce3471-112b-426c-ab57-6c0ab8e85dd2.htseq.counts.gz	352759d59ad3828d97c6c9f84343486a	252300	released
f64a18e9-2dea-497e-ae6b-3c7602602d1b	26a18ff4-ac77-47e8-9ef8-da442ac1325d.htseq.counts.gz	d2ef9ce9a9017def13c7e45f5137ac30	254647	released
60b68cc6-a7d8-4134-aad1-06acd5633f47	3f2cc0e5-5c45-4b32-bed1-8d549bb167eb.htseq.counts.gz	710516a855230b0364289844e3147bd3	252699	released
b691cb10-daf1-4bf5-9571-249d9f8f5144	05f0ced5-6976-4f43-9be5-fddb3f550adf.htseq.counts.gz	fe564f446b6761b584e79ee7c7576c3a	255184	released
2a20147d-ce91-4e63-af56-91cc83338ac6	32662b7d-7abd-4ec4-b802-869292832cfc.htseq.counts.gz	cbae3585f9d5c18683158b264184df8f	252734	released
ad9dcd6d-4613-4685-b3a6-2bbde16369f6	0aac5e42-7554-4949-8b90-c16528c71ef8.htseq.counts.gz	5995b6d90489962a2e06de25e76c8197	246459	released
f1ed449c-62d3-4c49-aa4a-c48b93334c36	fef65b57-c58d-4050-8de4-f09f5cd616ce.htseq.counts.gz	669439e52f2ff70a2c5c4e7aa65b4ac6	252467	released
d2830489-6b15-4922-98ac-d837f0be084e	f9f63982-b0ee-4cb8-8de5-f885d82137f0.htseq.counts.gz	4fe4ecb217fc6558347e2cca39322100	251292	released
d2574676-295f-41af-ad76-77524c1b35cd	844f025f-f7f5-443a-8c4f-855bfe6c212e.htseq.counts.gz	8e07b21c1477541a6a2e15227d1c7102	250433	released
cc17c9c5-8634-4c26-93b1-72a203f24e68	b7971446-9682-4b03-b469-797d5efb2412.htseq.counts.gz	0169f9b4ef57cc27e4079b258803267f	256693	released
4225b007-4956-4f28-b45e-ad3cf58caa0d	4a12d4ee-acf4-4422-abb5-54bb966e3b07.htseq.counts.gz	7b5f2cc31ba948254181f9c1ac2c6328	255310	released
12d19433-bce8-4339-abfe-911c52c84876	b244f324-fd8a-4d4b-b8f5-bad973c649d5.htseq.counts.gz	2f8a4c92226c7514cefab9bf02a9f7ac	255640	released
e2567946-b4e5-408a-950b-3bb6c130b2a1	caf9cab4-f98f-46bd-a75d-0eb1e9c6c9ea.htseq.counts.gz	b79e2c328901a718b5201228021c4309	251748	released
f5687b6b-500a-48a1-b972-1f1f0088f8ba	5909c211-0671-46f2-9159-62020a2b6cf8.htseq.counts.gz	b23de225535ec1f5cbb0fb7ec9c6ffc1	257947	released
65139ff4-fc1e-49cf-bddf-6aa132c1ac6d	7989aed0-f0bc-4f0c-a8ae-f084221ed3f5.htseq.counts.gz	e8ea10a2a5d6605269b39fa43b69048d	251516	released
ba6e9e0f-74fc-4681-8a6c-4d69418845dc	d1356d85-5b29-4666-818c-b1f43bcdab3c.htseq.counts.gz	01ad0dd2025a34d51351dfde1429004a	256418	released
