"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000104722.12",92.108454693136,1.46667728962485,0.307005826196513,4.77735979084006,1.77611811336628e-06,0.0016850793734983
"ENSG00000022267.15",2212.46174470659,1.05011552429492,0.220890774174476,4.75400354867451,1.99427534197881e-06,0.00183949741682634
"ENSG00000175445.13",939.768425291522,1.13931136616963,0.240270417345357,4.74178793526635,2.11840306689556e-06,0.00190118087133335
"ENSG00000139914.6",30.4849328289831,-1.18784189334788,0.250880692549043,-4.73468835436858,2.19391945174845e-06,0.00191713919249366
"ENSG00000183607.8",33.1076616472256,-3.40193788500079,0.723437929806452,-4.7024599413953,2.57045661495899e-06,0.00215092959194835
"ENSG00000240194.5",54.1023822914811,-2.67838242938047,0.569767520955613,-4.70083381532225,2.59101318068825e-06,0.00215092959194835
"ENSG00000159251.6",80.1834097221065,1.69313279348053,0.361936713853249,4.67798023432082,2.89714464955324e-06,0.00234640451787963
"ENSG00000112175.7",254.981902978607,1.82969342986695,0.39172119187353,4.67090744086595,2.99872047666688e-06,0.00237084552733811
"ENSG00000258175.1",11.0099838386386,-3.47528398944973,0.746894491659283,-4.65297847053219,3.27174419823524e-06,0.00252654739178138
"ENSG00000157542.9",248.063853381342,1.73026117511174,0.372926475869605,4.63968446079633,3.48941553623067e-06,0.00260407220288134
"ENSG00000132872.10",421.028787512742,1.8648879062088,0.40240130038732,4.63439830938371,3.57977150994492e-06,0.00260407220288134
"ENSG00000175426.9",1243.82797277154,1.73635271567464,0.37516396700413,4.62825022760121,3.68768277822896e-06,0.00260407220288134
"ENSG00000018625.13",181.628041216444,1.53174271779446,0.330999563261803,4.62762760983747,3.69878325131287e-06,0.00260407220288134
"ENSG00000173114.11",95.2932198118745,1.30325599450227,0.281846505467631,4.62399202835581,3.76424338186787e-06,0.00260407220288134
"ENSG00000166819.10",408.677121393822,2.10506896127262,0.458707543013353,4.58913090341603,4.45095256033123e-06,0.00301629246363998
"ENSG00000134376.13",7.456234341609,1.65130085856508,0.361204785351058,4.57164723595831,4.83905091834845e-06,0.00321371049589357
"ENSG00000107518.15",146.972608676613,1.49945731524841,0.32843995598015,4.56539251070606,4.9856060816129e-06,0.00324093015695023
"ENSG00000223941.4",13.8906604709401,2.04552060452766,0.448416492870301,4.56165336701676,5.07523845574329e-06,0.00324093015695023
"ENSG00000102003.9",683.469361190108,1.41323243952143,0.310317455688814,4.55415064029983,5.25976563471442e-06,0.00329539203144013
"ENSG00000260989.1",12.2061902793748,-1.78602021902505,0.393137847536255,-4.54298722500977,5.54626138815896e-06,0.00341053991954086
"ENSG00000154928.15",88.2364921944022,1.01480500400789,0.224017672959183,4.5300220763957,5.89775234928704e-06,0.00356074117291682
