"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PMP2",46.7616590081948,1.70478745899223,0.354734652923326,4.80581032877188,1.54125965028039e-06,0.000805524906909824

"KCNB1",147.566485555528,1.37924626406232,0.28842813426409,4.78194080331795,1.7361080957101e-06,0.000893401226052419

"PTN",434.855487598597,1.0228694541387,0.214234157224278,4.77453953837939,1.80118894890399e-06,0.000907664439064238

"HSD11B2",2048.83867110076,-1.12196903899737,0.235082600921001,-4.7726587786665,1.81809672687686e-06,0.000907664439064238

"CD79A",991.968049000632,1.60299521455273,0.338007765787464,4.74248043034811,2.11117228491773e-06,0.00103847943762078

"ZFX",1281.80921841663,0.38495088892413,0.0813332863059962,4.73300546932099,2.21219525667881e-06,0.00107240172667608

"NKX6-3",64.3003289277062,1.84997195112676,0.391124211026468,4.72988349729535,2.24648716107921e-06,0.00107346784358484

"NXPE4",4.53195011968198,-1.60323929437658,0.339548477880659,-4.72168010996082,2.33904366882791e-06,0.00110195312223415

"TACR1",92.9248918498152,1.2567963276409,0.267398816426019,4.7000818643811,2.60057218485708e-06,0.00120814637515673

"ATRNL1",171.834387656811,1.33531835556356,0.284564588268918,4.69249657410522,2.69891056086455e-06,0.00123665560753915

"MGAT4C",45.3760198989186,1.44002823351609,0.30861947032738,4.6660317056099,3.07072339421277e-06,0.00137843089046735

"EFR3B",198.31211833009,0.900627239079718,0.193073106525286,4.66469543733045,3.0907446197211e-06,0.00137843089046735

"KIAA0125",128.27551263755,1.5905599417491,0.343256240151406,4.63373933434547,3.59119135949001e-06,0.00154695882925878

"CLGN",164.448309747923,1.29355979452089,0.279224925967951,4.63268023095247,3.60961853327642e-06,0.00154695882925878

"DDX3X",12437.0881072502,0.329535566389345,0.0711614898357681,4.63081319896298,3.64232370947086e-06,0.00154695882925878

"UNC13A",440.732904635645,1.24613254379671,0.269133077799977,4.6301723815712,3.65361438343281e-06,0.00154695882925878

"MUC21",45.9904463247999,-2.06925829039786,0.447722616596073,-4.6217417072426,3.80531623468409e-06,0.00159105028417435

"CTD-2547H18.1",69.2816814398888,-1.69531336063294,0.367414558399103,-4.61417034757619,3.94668636401439e-06,0.00160995305471447

"P2RX5",165.858409515947,1.43382473513612,0.310876107082071,4.61220628563004,3.98417298116135e-06,0.00160995305471447

"CELF4",148.376333481887,1.29328413087772,0.280548591830595,4.60984003676143,4.02978916585941e-06,0.00160995305471447

"THRSP",22.4521990178964,2.12009742288444,0.459975108257168,4.60915685398157,4.04305230637733e-06,0.00160995305471447

"ENSG00000280434.1",68.2076555365587,1.18484037416355,0.257629889362488,4.59900199117219,4.24519725491812e-06,0.00167056003505596

"CD79B",527.961404350108,1.37631672125081,0.299723520105738,4.59195434767768,4.39114437181052e-06,0.00168990323239326

"RBM24",55.4867329724257,1.18673029994966,0.258638484510825,4.58837478186657,4.46710127116037e-06,0.00168990323239326

"SSTR2",314.848483722125,1.07902893429281,0.235196279665608,4.58778062232502,4.47983028055314e-06,0.00168990323239326

"RPL12P4",52.6757271895276,-1.38794299681685,0.302581346882276,-4.58700779515285,4.49643898720442e-06,0.00168990323239326

"CSF3",36.6328912913617,1.80778217357913,0.394948419529975,4.57726144525547,4.71102536558256e-06,0.0017508787494819

"SLC7A14",162.611695684776,1.57116848692746,0.344079142060479,4.56629971092898,4.96408888556157e-06,0.00180603354573402

"RP11-734K21.2",10.1816500452442,-1.33826502506469,0.293229279661578,-4.56388607102677,5.02153362374153e-06,0.00180603354573402

"RP13-514E23.1",20.6156094667892,1.14141261463498,0.250139551871633,4.56310330011597,5.04029992235567e-06,0.00180603354573402

"SEZ6L",638.072578971212,1.51926994151221,0.333052971217431,4.56164656318399,5.07540295073089e-06,0.00180603354573402

"EIF1AX",2908.63255092962,0.300009935481605,0.0658109357416879,4.55866387706692,5.14800861966446e-06,0.00181258674020165

"SCG3",1948.95355494814,1.66847361967358,0.366509665737087,4.55233183637357,5.30545648839147e-06,0.00184107950587037

"ANO7",355.279140152075,-1.10457556975182,0.242710224668335,-4.55100550980591,5.33901498010183e-06,0.00184107950587037

"LGALS12",40.1539791217484,1.31321891964804,0.289008532148059,4.54387595372195,5.52291665734819e-06,0.00188506162522081

"MEG9",51.6024496003186,1.0829741224662,0.239179145425926,4.52787855119079,5.9578805663978e-06,0.00201298128348929

"LGI1",18.6419034387553,1.42917535494081,0.316272776198679,4.51880611451369,6.21893107172497e-06,0.00208017025418129

"C5orf49",75.666146756744,1.06570136142755,0.236066830980966,4.51440533597656,6.34946754635331e-06,0.00210280534611853

"KCNAB1",274.995117810505,0.772149707523533,0.171885675102468,4.49222837832894,7.04817819266778e-06,0.0023028363947048

"RP11-57A19.4",2.86156648185891,-2.04605008752881,0.455595688108012,-4.49093382781035,7.09115814088896e-06,0.0023028363947048

"MPPED1",4.95397261116151,1.74198231653838,0.388380195961663,4.48525010968975,7.28284552348444e-06,0.00230926062582461

"LRRTM1",113.508064095937,-1.86609318717561,0.416074811326745,-4.48499437210622,7.29158591579059e-06,0.00230926062582461

"IGSF1",215.452661139204,1.25208894228454,0.27922101759232,4.48422168603609,7.31805513879065e-06,0.00230926062582461

"GPM6B",353.435035391586,0.84711579594224,0.189095678365581,4.47982631472147,7.47038023294347e-06,0.00231353536022228

"TMEM35",76.0064146983902,0.928363848095118,0.207249686914287,4.47944632350188,7.48369057606644e-06,0.00231353536022228

